,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
499,"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Intermediate,Electronics,English,"English, 中文",7–9 hours per week,5,169.0
500,China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",1–3 hours per week,15,139.0
501,Introduction to DevOps and Site Reliability Engineering,8697,Self-paced on your time,The Linux Foundation,Gourav Shah,Introductory,Computer Science,English,English,1–2 hours per week,10,149.0
502,SQL aplicado en la  ciencia de datos,0,Self-paced on your time,IBM,Rav Ahuja,Introductory,Data Analysis & Statistics,Español,Español,2–4 hours per week,4,39.0
503,Sign Language Science: Factors Contributing to Nature Structure,0,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,English,3–5 hours per week,4,99.0
504,Gender and Intersectionality,0,Self-paced on your time,The University of Iceland,Giti Chandra-Thomas Brorsen Smidt,Introductory,Humanities,English,English,2–5 hours per week,6,50.0
505,Digital Transformation in Business,10118,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Henry Lucas-Ritu Agarwal-Anandasivam Gopal-Joseph P. Bailey,Advanced,Business & Management,English,English,8–10 hours per week,7,214.0
506,Designing and Creating Trousers,7544,Self-paced on your time,The Hong Kong Polytechnic University,Tanya Dove-Jalice Cheng-Kristina Shin-Marco Rebora,Introductory,Design,English,English,3–5 hours per week,5,99.0
507,Introducción a la teoría política: conceptos y grandes pensadores,11741,Self-paced on your time,Università degli Studi di Napoli Federico II,Fernando Vallespín,Introductory,Social Sciences,Español,Español,4–6 hours per week,7,59.0
508,"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Self-paced on your time,SDG Academy,Joshua Castellino-Sarah Bradshaw,Intermediate,Social Sciences,English,"English, Русский",2–4 hours per week,11,49.0
509,Industry 4.0: How to Revolutionize your Business,28404,Self-paced on your time,The Hong Kong Polytechnic University,Eric Tsui-Jay Lee-Norbert Gronau-Doug Vogel,Introductory,Business & Management,English,English,6–8 hours per week,6,50.0
510,Desafíos y oportunidades en la economía digital,47792,Self-paced on your time,Inter-American Development Bank,Ana María Rodríguez-Ortiz-Ignacio De León-Miguel Porrúa-María Inés Vasquez Rossi,Introductory,Economics & Finance,Español,Español,2–3 hours per week,10,25.0
511,Pensamiento crítico: toma de decisiones razonadas,16853,Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,Español,Español,5–8 hours per week,4,149.0
512,"MathTrackX: Polynomials, Functions and Graphs",0,Self-paced on your time,University of Adelaide,Dr Danny Stevenson-Dr David Butler-Dr Brendan Harding-Dr Melissa Humphries,Introductory,Math,English,English,3–6 hours per week,4,79.0
513,Sustainable Food Security: Crop Production,35367,Self-paced on your time,Wageningen University & Research,Ken Giller-​Harrie Lovenstein-Gerrie van de Ven,Intermediate,Biology & Life Sciences,English,English,6–8 hours per week,6,49.0
514,Network and Security Foundations,7301,Self-paced on your time,Western Governors University,Gerri Light-Ryan Whisler,Introductory,Computer Science,English,English,9–10 hours per week,8,299.7
515,Cannabis Cultivation and Processing,7419,Self-paced on your time,Doane University,"Dan Ricker-Jazmin Oliver-Andrea Holmes, PhD",Introductory,Environmental Studies,English,English,5–10 hours per week,3,179.0
516,"Data, Models and Decisions in Business Analytics",36289,Instructor-led on a course schedule,Columbia University,Unlisted,Advanced,Business & Management,English,English,8–10 hours per week,12,249.0
517,Data Structures Fundamentals,42381,Self-paced on your time,"The University of California, San Diego",Daniel Kane-Alexander S. Kulikov-Michael Levin-Neil Rhodes,Intermediate,Computer Science,English,English,8–10 hours per week,6,99.0
518,Shaping Work of the Future,22246,Self-paced on your time,Massachusetts Institute of Technology,Thomas Kochan-Barbara Dyer-Elisabeth Reynolds-Inez von Weitershauen,Introductory,Business & Management,English,English,4–5 hours per week,8,49.0
519,Introducción a la robótica e industria 4.0,7056,Self-paced on your time,Universidades Anáhuac,Luis Alberto Muñoz Ubando-David Alberto Sansores Peraza-Daniel Alejandro Sansores Peraza,Introductory,Computer Science,Español,Español,4–5 hours per week,3,49.0
520,Fighting for Equality: 1950–2018,9274,Self-paced on your time,Columbia University,Alice Kessler-Harris-Nick Juravich-Columbia University Center for Teaching and Learning-New-York Historical Society,Intermediate,History,English,English,2–3 hours per week,10,50.0
521,"Design Thinking: Ideation, Iteration and Communication",14629,Self-paced on your time,Rochester Institute of Technology,Mike Johansson,Intermediate,Business & Management,English,English,8–12 hours per week,6,299.0
522,Negotiation Strategies and Styles,0,Self-paced on your time,Tecnológico de Monterrey,Luz María Vargas Reguer-Daniel Meade Monteverde,Intermediate,Business & Management,English,English,5–8 hours per week,4,149.0
523,Crear música con tecnología,10961,Self-paced on your time,Berklee College of Music,Loudon Sterns,Introductory,Music,Español,Español,3–5 hours per week,6,49.0
524,Análisis de datos: Diseño y Visualización de Tableros,18368,Self-paced on your time,Delft University of Technology,Felienne Hermans,Intermediate,Computer Science,Español,"English, Español",4–6 hours per week,8,49.0
525,Comunicación estratégica: gestión de crisis e imagen pública,7017,Self-paced on your time,Pontificia Universidad Javeriana,Andrés Ricardo Quintero,Introductory,Communication,Español,Español,2–4 hours per week,4,49.0
526,"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced on your time,University of Adelaide,Professor Wendy Umberger-Elizabeth Gunner-Craig Johns-Dr. Alexandra Peralta,Intermediate,Business & Management,English,English,2–3 hours per week,4,199.0
527,Unlocking Information Security: Part II,6426,Self-paced on your time,IsraelX-Tel Aviv University,Avishai Wool-Dan Gittik,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",4–6 hours per week,6,149.0
528,Human Rights Defenders,27338,Self-paced on your time,Amnesty International,Amnesty International,Introductory,Social Sciences,English,English,4–5 hours per week,4,49.0
529,Product Design: The Delft Design Approach,87539,Self-paced on your time,Delft University of Technology,Annemiek van Boeijen-Jaap J.J. Daalhuizen,Intermediate,Business & Management,English,English,6–8 hours per week,7,79.0
530,Introduction to Psychology | 心理学概论,30731,Self-paced on your time,Tsinghua University,Kaiping Peng,Introductory,Philosophy & Ethics,中文,English,3–5 hours per week,13,139.0
531,Circuits and Electronics 3: Applications,9347,Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Intermediate,Electronics,English,"English, 中文",8–10 hours per week,7,169.0
532,Vaccines: from smallpox to technologies of the future,6166,Self-paced on your time,KU Leuven University,Johan Neyts-Corinne Vandermeulen-Steven Van Gucht-Marta Romano,Intermediate,Medicine,English,English,3–5 hours per week,6,49.0
533,Le management,6273,Self-paced on your time,HEC Montréal,Gilles Cazabon,Introductory,Business & Management,Français,Français,2–3 hours per week,5,149.0
534,Circular Economy for a Sustainable Built Environment,8032,Self-paced on your time,Delft University of Technology,Tillmann Klein-Marcel Bilow-Arnout Sabbe-Mo Smit,Intermediate,Architecture,English,English,3–5 hours per week,6,50.0
535,Agile Innovation and Problem Solving Skills,12667,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,2–3 hours per week,4,199.0
536,International Investment Law,23335,Instructor-led on a course schedule,Université catholique de Louvain,Yannick Radi,Advanced,Law,English,English,6–8 hours per week,10,150.0
537,Animation and CGI Motion,36827,Instructor-led on a course schedule,Columbia University,Eitan Grinspun,Advanced,Computer Science,English,English,8–10 hours per week,12,249.0
538,Terrorism and Counterterrorism,28580,Self-paced on your time,Georgetown University,Daniel Byman-Christine Fair-Bruce Hoffman-Paul Pillar,Introductory,Humanities,English,English,8–10 hours per week,7,49.0
539,Découvrir le marketing,30030,Instructor-led on a course schedule,Université catholique de Louvain,Chantal de Moerloose-Claude Pecheux-Anne-Laure Bartier,Intermediate,Business & Management,Français,Français,3–5 hours per week,10,150.0
540,Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led on a course schedule,Delft University of Technology,Arno Smets-Miro Zeman-René van Swaaij,Advanced,Engineering,English,English,10–11 hours per week,12,250.0
541,Introduction to Actuarial Science,52667,Self-paced on your time,Australian National University,Adam Butt,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,8,49.0
542,PredictionX: Lost Without Longitude,9114,Self-paced on your time,Harvard University,Alyssa Goodman,Introductory,History,English,English,2–5 hours per week,1,49.0
543,Information Technology Foundations,6388,Self-paced on your time,Western Governors University,Gerri Light-Ryan Whisler,Introductory,Computer Science,English,English,9–10 hours per week,6,399.6
544,Introducción a la Inteligencia Artificial de Watson,0,Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,Español,Español,4–8 hours per week,8,49.0
545,Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Self-paced on your time,Delft University of Technology,Hans de Bruijn-Gerdien de Vries,Intermediate,Business & Management,English,English,4–5 hours per week,5,125.0
546,Instructional Design and Technology: Learning Theories,21296,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Randy Hansen,Intermediate,Education & Teacher Training,English,English,8–10 hours per week,8,299.0
547,"Algorithms: Design and Analysis, Part 2",0,Self-paced on your time,Stanford University,Tim Roughgarden,Intermediate,Computer Science,English,English,2–4 hours per week,6,149.0
548,The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,Stephen Wang,Intermediate,Math,English,English,6–8 hours per week,8,159.0
549,Introducción al quirófano,0,Self-paced on your time,Universidades Anáhuac,Fernando Azcoitia Moraila,Intermediate,Medicine,Español,Español,3–4 hours per week,6,49.0
550,The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,Lieven Vandersypen-Menno Veldhorst-Koen Bertels-Leo Di Carlo,Intermediate,Physics,English,English,6–8 hours per week,6,79.0
551,Grabar y mezclar música,10856,Self-paced on your time,Berklee College of Music,Peter Bell,Introductory,Music,Español,Español,3–5 hours per week,4,49.0
552,Leadership focused on Human Flourishing,0,Self-paced on your time,Tecnológico de Monterrey,Santiago José Vázquez Blanco,Intermediate,Business & Management,English,English,5–8 hours per week,4,149.0
553,Automata Theory,0,Self-paced on your time,Stanford University,Jeffrey D. Ullman,Advanced,Computer Science,English,English,5–10 hours per week,7,129.0
554,¡Conceptos básicos de Python para Data Science!,0,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,Español,Español,2–5 hours per week,5,49.0
555,Herramientas para el Análisis de Big Data,8118,Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4,49.0
556,Foundations of Central Bank Law,6169,Self-paced on your time,The International Monetary Fund,Wouter Bossu-Hans Weenink-Catalina Margulis-Jess Cheng,Intermediate,Law,English,English,2–6 hours per week,6,25.0
557,C Programming: Modular Programming and Memory Management,18690,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,2–4 hours per week,7,49.0
558,Enseñanza temprana de matemáticas y ciencias,8250,Self-paced on your time,Inter-American Development Bank,Rosangela Bando-Emma Naslund-Hadley,Introductory,Education & Teacher Training,Español,Español,1–2 hours per week,10,25.0
559,Entrepreneurship 102: What can you do for your customer?,11275,Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,2–4 hours per week,10,49.0
560,Italian Language and Culture: Advanced (2019-2020),24667,Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Advanced,Language,Italiano,Italiano,3–5 hours per week,12,49.0
561,Introduction to Marketing,0,Self-paced on your time,The University of Edinburgh,Ewelina Lacka-Malcolm Kirkup-Asanka de Silva-Antonia Gieschen,Introductory,Business & Management,English,English,2–3 hours per week,6,149.0
562,Origins of the Human Mind,11812,Self-paced on your time,Kyoto University,Tetsuro Matsuzawa,Introductory,Science,English,English,2–3 hours per week,5,49.0
563,Introduction to Geometry,61824,Self-paced on your time,SchoolYourself,Zach Wissner-Gross-John Lee-Vivek Venkatachalam-Kenny Peng,Introductory,Math,English,English,4–6 hours per week,14,50.0
564,The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,Federica Saliola-Aart Kraay-Truman G. Packard-Shwetlena Sabarwal,Introductory,Economics & Finance,English,"اللغة العربية, English, Español, Français, Русский, 中文",3–5 hours per week,5,5.0
565,Clinical Reasoning Process,5367,Self-paced on your time,Université de Montréal,Nathalie Caire Fon,Introductory,Medicine,English,English,2–4 hours per week,6,149.0
566,Datos para la efectividad de las políticas públicas,80425,Self-paced on your time,Inter-American Development Bank,Ivette Fis de Melo-Norma Palomino,Introductory,Data Analysis & Statistics,Español,Español,4–5 hours per week,10,25.0
567,Media Law,7253,Instructor-led on a course schedule,New York University,Beth Rosenberg-Erik Dykema,Introductory,Art & Culture,English,English,8–10 hours per week,14,249.0
568,Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Self-paced on your time,Inter-American Development Bank,Olga Espinoza-Eduardo Pazinato-Alejandra Mera-Hung-En Sung,Intermediate,Social Sciences,Español,Español,4–5 hours per week,10,25.0
569,"Diseña, fabrica y programa tu propio robot",25024,Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Engineering,Español,Español,8–10 hours per week,6,75.0
570,Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Self-paced on your time,University of Texas at Arlington,George Siemens-Justin Dellinger-Matt Crosslin-Tanya Joosten,Introductory,Education & Teacher Training,English,English,3–5 hours per week,6,139.0
571,Circular Economy: An Interdisciplinary Approach,10281,Self-paced on your time,Wageningen University & Research,Emiel Wubben-Alistair Beames-Gert Jan Hofstede-Dr. Kim Poldner,Advanced,Business & Management,English,English,16–24 hours per week,6,149.0
572,Calculus 1B: Integration,44669,Instructor-led on a course schedule,Massachusetts Institute of Technology,David Jerison-Gigliola Staffilani-Jennifer French-Karene Chu,Intermediate,Math,English,English,6–10 hours per week,15,100.0
573,Algorithmic Design and Techniques,40620,Self-paced on your time,"The University of California, San Diego",Pavel Pevzner-Daniel Kane-Alexander S. Kulikov-Michael Levin,Intermediate,Computer Science,English,English,8–10 hours per week,6,99.0
574,Drinking Water Treatment,51918,Self-paced on your time,Delft University of Technology,Luuk Rietveld-Doris van Halem,Intermediate,Engineering,English,English,6–8 hours per week,7,50.0
575,Fundamentos de información financiera y contable,7789,Self-paced on your time,Universidades Anáhuac,Laura Avila Rodríguez-Lourdes Rojas Cataño,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5,49.0
576,Les principes de la finance,44037,Self-paced on your time,Université catholique de Louvain,Catherine D'Hondt-Isabelle Platten,Intermediate,Business & Management,Français,Français,4–7 hours per week,13,150.0
577,Music Technology Foundations,34550,Self-paced on your time,University of Adelaide,Luke Harrald-Christian Haines-Stephen Whittington,Introductory,Computer Science,English,English,2–3 hours per week,6,169.0
578,The Entrepreneurial Mindset,31077,Self-paced on your time,Babson College,Dennis J. Ceru,Introductory,Business & Management,English,English,4–6 hours per week,6,149.0
579,"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Self-paced on your time,The University of Michigan,Kathleen Alsup-Glenn M. Fox-Kelli A. Sullivan,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,5,49.0
580,Risk Management and Credit Principles,9028,Self-paced on your time,NYIF,Tracy Williams,Advanced,Economics & Finance,English,English,2–3 hours per week,6,199.0
581,Steps in Japanese for Beginners1 Part3,6169,Self-paced on your time,Waseda University,Naoko Kinoshita-Kaori Sano-Yukiyo HAMAKAWA,Introductory,Language,English,English,3–5 hours per week,5,99.0
582,Structural Materials: Selection and Economics,9752,Self-paced on your time,Massachusetts Institute of Technology,Thomas Eagar-Jessica Sandland,Introductory,Engineering,English,English,2–3 hours per week,3,50.0
583,Algorithm Design and Analysis,39137,Self-paced on your time,University of Pennsylvania,Sampath Kannan,Intermediate,Computer Science,English,English,6–8 hours per week,4,149.0
584,Estructuras de Datos con Python,0,Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,Español,Español,2–4 hours per week,7,49.0
585,Mandarin Chinese for Business,12384,Self-paced on your time,MandarinX,Estella Chen,Intermediate,Language,English,English,4–10 hours per week,6,149.0
586,Bases Matemáticas: Números y terminología,26060,Self-paced on your time,Universitat Politècnica de Valencia,Antonio José Guirao Sánchez-Santiago Moll López,Intermediate,Math,Español,Español,3–4 hours per week,4,50.0
587,Arab-Islamic History: From Tribes to Empires,17321,Self-paced on your time,IsraelX-Tel Aviv University,Miri Shefer-Mossensohn,Introductory,Humanities,English,English,3–4 hours per week,8,149.0
588,Human-Computer Interaction I: Fundamentals & Design Principles,9010,Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,5–6 hours per week,6,99.0
589,Modeling and simulation of multibody systems,0,Instructor-led on a course schedule,Université catholique de Louvain,Paul Fisette-Maxime Raison,Intermediate,Engineering,English,English,10–11 hours per week,14,50.0
590,The Science of Parenting,37538,Self-paced on your time,"The University of California, San Diego",David Barner,Introductory,Social Sciences,English,English,3–5 hours per week,5,49.0
591,Inclusive Teaching: Supporting All Students in the College Classroom,9899,Self-paced on your time,Columbia University,Columbia University Center for Teaching and Learning-Amanda M. Jungels-Chandani Patel-Amanda Irvin,Introductory,Education & Teacher Training,English,English,2–3 hours per week,6,49.0
592,Analytics for Decision Making,31031,Self-paced on your time,Babson College,Rick Cleary-Nathan Karst-Davit Khachatryan-George Recck,Introductory,Business & Management,English,English,4–6 hours per week,4,249.0
593,Principios de Análisis e Instrumentos Financieros,0,Self-paced on your time,Universidades Anáhuac,Ricardo Cristhian Morales Pelagio-Joel Álvarez Bautista,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5,49.0
594,Energy Principles and Renewable Energy,19520,Instructor-led on a course schedule,The University of Queensland,Simon Smart,Advanced,Energy & Earth Sciences,English,English,10–12 hours per week,14,375.0
595,DNA: Biology’s Genetic Code,35162,Self-paced on your time,Rice University,Elizabeth Eich-Daniel J. Catanese,Intermediate,Biology & Life Sciences,English,English,4–6 hours per week,6,169.0
596,Music For Wellness,19728,Self-paced on your time,Berklee College of Music,Suzanne Hanser-Annette Philip,Introductory,Humanities,English,English,3–5 hours per week,4,49.0
597,Mining Massive Datasets,5311,Self-paced on your time,Stanford University,Jeffrey D. Ullman-Jure Leskovec-Anand Rajaraman,Advanced,Computer Science,English,English,5–10 hours per week,7,149.0
598,Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041,Self-paced on your time,Tokyo Institute of Technology,Akira Chiba-Akira Matsuzawa-Shinsuke Miyajima-Ayaka Saito,Introductory,Engineering,English,"English, 日本語",2–3 hours per week,4,50.0
599,A travel by Spanish America: Spanish for beginners,0,Self-paced on your time,Universidad del Rosario,Diana Alejandra Hincapié Moreno-María Liliana Labrador Morales-Diana Rocío Umaña Buitrago,Introductory,Language,Español,Español,4–6 hours per week,4,49.0
600,Introducción a la Inteligencia Artificial,11184,Self-paced on your time,Universidades Anáhuac,Román Alberto Zamarripa Franco,Introductory,Computer Science,Español,Español,4–5 hours per week,4,49.0
601,Introducción a la Inteligencia Artificial: Principales Algoritmos,0,Self-paced on your time,Universidad Galileo,Jorge Samayoa-Eduardo Corpeño-Preng Biba-Julio Fajardo,Introductory,Computer Science,Español,Español,4–5 hours per week,4,49.0
602,Digital Security and Human Rights,11443,Self-paced on your time,Amnesty International,Amnesty International,Introductory,Social Sciences,English,English,1–2 hours per week,3,49.0
603,Critical thinking: reasoned decision making,6923,Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,English,English,5–8 hours per week,4,149.0
604,Introduction to the Internet of Things,7581,Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Electronics,English,English,5–6 hours per week,6,50.0
605,Trading - Fundamentals of Technical Analysis,0,Self-paced on your time,NYIF,Michael Carr,Introductory,Economics & Finance,English,English,2–3 hours per week,6,199.0
606,Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261,Self-paced on your time,Universidad Autónoma de Madrid,Alberto Ortiz Arduan-María Dolores Sánchez Niño-María Vanessa Pérez Gómez,Introductory,Medicine,Español,Español,3–5 hours per week,6,49.0
607,Design Thinking: Empathizing to Understand the Problem,13340,Self-paced on your time,Rochester Institute of Technology,Jennifer Englert,Intermediate,Business & Management,English,English,8–12 hours per week,6,299.0
608,Storytelling in the Workplace,0,Self-paced on your time,Rochester Institute of Technology,Ammina Kothari,Introductory,Communication,English,English,4–6 hours per week,3,199.0
609,Marketing Analytics: Price and Promotion Analytics,41021,Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Intermediate,Computer Science,English,English,5–7 hours per week,4,249.0
610,Implementation of Data Structures,27761,Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,6–8 hours per week,6,149.0
611,Activism and Citizen Journalism through Media,7460,Self-paced on your time,Wits University,Paul McNally-Boikaego Seadira-Susan Stos-Zandile Mashaba,Introductory,Communication,English,English,2–3 hours per week,4,49.0
612,Electric and Conventional Vehicles,22089,Instructor-led on a course schedule,Chalmers University of Technology,Sven Andersson-Anders Grauers,Advanced,Engineering,English,English,10–20 hours per week,6,249.0
613,Big Data Fundamentals,40106,Self-paced on your time,University of Adelaide,Frank Neumann-Vahid Roostapour-Aneta Neumann-Wanru (Kelly) Gao,Intermediate,Computer Science,English,English,8–10 hours per week,10,199.0
614,Sustainable Food Security: The value of systems thinking,26600,Self-paced on your time,Wageningen University & Research,Gerrie van de Ven-I.J.M. de Boer-Carolien Kroeze-Eddie Bokkers,Introductory,Biology & Life Sciences,English,English,8–10 hours per week,6,49.0
615,Knowledge Management and Big Data in Business,69064,Self-paced on your time,The Hong Kong Polytechnic University,W.B. Lee-Klaus Tochtermann-Usama Fayyad-Eric Tsui,Introductory,Business & Management,English,English,6–8 hours per week,8,50.0
616,Uso efectivo del tiempo,6409,Self-paced on your time,Pontificia Universidad Javeriana,Alvaro Figueroa Cabrera,Introductory,Economics & Finance,Español,Español,6–8 hours per week,6,49.0
617,C Programming: Pointers and Memory Management,19171,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,2–4 hours per week,7,49.0
618,Astrophysics: The Violent Universe,65711,Self-paced on your time,Australian National University,Brian Schmidt-Paul Francis,Intermediate,Physics,English,English,2–4 hours per week,10,50.0
619,Landscape Ecology,8644,Self-paced on your time,ETH Zurich,Felix Kienast-Gregor Martius-Janet Silbernagel-Sima Fakheran,Intermediate,Environmental Studies,English,English,2–4 hours per week,14,50.0
620,IoT Programming and Big Data,21591,Self-paced on your time,Curtin University,Iain Murray AM,Introductory,Computer Science,English,English,4–6 hours per week,5,199.0
621,AWS: Getting Started with Cloud Security,8192,Self-paced on your time,Amazon Web Services,Rudy Chetty-Hong Pham,Introductory,Computer Science,English,English,2–4 hours per week,4,49.0
622,Introducción a la gravedad cuántica de lazos,7360,Self-paced on your time,Universidad Nacional de Córdoba,Jorge Pullin,Introductory,Science,Español,"English, Español",5–7 hours per week,5,50.0
623,Introduction to the Music Business,46607,Self-paced on your time,Berklee College of Music,John P. Kellogg,Introductory,Business & Management,English,English,2–4 hours per week,6,49.0
624,Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced on your time,Universidad Autónoma de Madrid,Germán Montoro Manrique-Alejandro Sierra Urrecho,Introductory,Computer Science,Español,Español,2–4 hours per week,4,49.0
625,Visualización de Datos y Storytelling,5980,Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4,49.0
626,Negociación exitosa: Estrategias y habilidades esenciales (en español),0,Self-paced on your time,The University of Michigan,George Siedel,Introductory,Business & Management,Español,Español,2–4 hours per week,7,49.0
627,"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Self-paced on your time,SDG Academy,Achim Dobermann-Ken Giller-Jessica Fanzo-Upmanu Lall,Intermediate,Environmental Studies,English,"English, Русский",3–5 hours per week,7,49.0
628,Macroeconomics - The Basics,0,Self-paced on your time,Doane University,"Arinna Butler Roxa, MBA",Introductory,Economics & Finance,English,English,10–18 hours per week,8,79.0
629,Fundamentals of Financial Mathematics and Capital Budgeting,5410,Self-paced on your time,NYIF,Douglas Carroll,Introductory,Economics & Finance,English,English,1–2 hours per week,4,99.0
630,Gestión participativa: motivación y liderazgo organizacional,23441,Self-paced on your time,Universitat Politècnica de Valencia,Juan A. Marin-García-Cristina Santandreu Mascarell-Amable Juárez Tárrega,Intermediate,Business & Management,Español,Español,3–4 hours per week,8,79.0
631,Herramientas de ciencia de datos: uso práctico,0,Self-paced on your time,IBM,Romeo Kienzler-Svetlana Levitan-Maureen McElaney,Introductory,Data Analysis & Statistics,Español,Español,3–7 hours per week,7,39.0
632,Bienestar para el desarrollo personal y profesional,0,Self-paced on your time,Universidades Anáhuac,J. Armando Barriguete Meléndez-Adriana Viladoms Portugal,Intermediate,Health & Safety,Español,"English, Español",5–7 hours per week,5,29.0
633,Energía eléctrica: conceptos y principios básicos,9762,Self-paced on your time,Tecnológico de Monterrey,Manuel Macías García-Rodolfo Anaya Zamora-Cornelio Contreras Hinojosa,Intermediate,Engineering,Español,Español,4–5 hours per week,7,49.0
634,Market Segmentation Analysis,17055,Self-paced on your time,The University of Queensland,Sara Dolnicar-Bettina Grün-Friedrich Leisch,Intermediate,Business & Management,English,English,6–8 hours per week,5,99.0
635,Pensamento crítico: tomada de decisões fundamentadas,0,Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,Português,Português,5–8 hours per week,4,149.0
636,AP® English Literature & Composition – Part 2: Poems,5719,Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,4–5 hours per week,7,49.0
637,"Electrical, Optical & Magnetic Materials and Devices",16905,Self-paced on your time,Massachusetts Institute of Technology,Caroline Ross-Jessica Sandland,Intermediate,Engineering,English,English,8–12 hours per week,16,150.0
638,Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),0,Self-paced on your time,University of Hong Kong,Dr. Ming-Yen Ng-Dr. Varut Vince Vardhanabhuti-Guest speaker: Dr. Suhny Abbara-Guest speaker:  Dr. Ed Nicol,Introductory,Medicine,English,"English, Français, 中文, 中文",2–3 hours per week,4,99.0
639,How to Design a Successful Business Model,33656,Self-paced on your time,Delft University of Technology,Harry Bouwman-Mark de Reuver-Timber Haaker,Introductory,Business & Management,English,"Deutsch, English, Español, Français",2–4 hours per week,8,99.0
640,Ecodesign for Cities and Suburbs,28472,Self-paced on your time,University of British Columbia,Jonathan Barnett-Larry Beasley,Introductory,Environmental Studies,English,English,4–5 hours per week,6,99.0
641,Agile Software Development,37158,Self-paced on your time,ETH Zurich,Bertrand Meyer,Introductory,Computer Science,English,English,2–3 hours per week,6,50.0
642,Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Self-paced on your time,Universidad del Rosario,Claudia Alejandra Castillo Chavarro-Juan Manuel Sánchez Barrero,Intermediate,Computer Science,Español,Español,6–10 hours per week,4,49.0
643,Essentials of Program Strategy and Evaluation,0,Self-paced on your time,Stanford University,Paul Brest,Introductory,Philanthropy,English,English,5–10 hours per week,4,50.0
644,Gestão de Projetos de Desenvolvimento,28337,Self-paced on your time,Inter-American Development Bank,Luiz Claudio Faria-Vanessa Sayos del Castillo-Ernesto Mondelo,Introductory,Business & Management,Português,Português,3–4 hours per week,10,49.0
